title,price,desc,images
Designer modern woven check windowpane pillow cover black tan beige textured farmhouse artisan available in multiple sizes,40.00,"Modern plaid windowpane pillow cover to go with many decor styles. * Available in front only (natural reverse fabric)and same fabric front and back. Choose from front only or samesides in the drop down menu. *size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings.  Custom sizes can most likely be accommodated...just ask!*spot clean*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/3391b8/4295485536/il_794xN.4295485536_ctqb.jpg', 'https://i.etsystatic.com/6035838/r/il/be38ba/4342874023/il_794xN.4342874023_jorb.jpg', 'https://i.etsystatic.com/6035838/r/il/03a9f6/4321919643/il_794xN.4321919643_fss0.jpg', 'https://i.etsystatic.com/6035838/r/il/4ad0a9/4274519794/il_794xN.4274519794_7dj3.jpg', 'https://i.etsystatic.com/6035838/r/il/4a01a8/4274519292/il_794xN.4274519292_liha.jpg', 'https://i.etsystatic.com/6035838/r/il/8081db/4321919511/il_794xN.4321919511_coem.jpg', 'https://i.etsystatic.com/6035838/r/il/ecc3bc/3113810086/il_794xN.3113810086_7soi.jpg', 'https://i.etsystatic.com/6035838/r/il/cf5074/4295485490/il_794xN.4295485490_gsfh.jpg']"
Woven stripe sky blue creamy white nubby chunky pillow cover artisan organic-feel available in multiple sizes hygge neutral Scandinavian,40.00,"Striped pillow cover available in multiple sizes!* Available in front only (white reverse fabric)and same fabric front and back. Choose from front only or samesides in the drop down menu. *size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings.  Custom sizes can most likely be accommodated...just ask!*spot clean*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/ff4684/4342804293/il_794xN.4342804293_b2xg.jpg', 'https://i.etsystatic.com/6035838/r/il/c61532/4342804145/il_794xN.4342804145_9dr7.jpg', 'https://i.etsystatic.com/6035838/r/il/6394af/4342804339/il_794xN.4342804339_o9cg.jpg', 'https://i.etsystatic.com/6035838/r/il/8ed25f/4295416010/il_794xN.4295416010_jndx.jpg', 'https://i.etsystatic.com/6035838/r/il/23bc15/4295416140/il_794xN.4295416140_n5hc.jpg', 'https://i.etsystatic.com/6035838/r/il/85f42b/4342804605/il_794xN.4342804605_fzqt.jpg', 'https://i.etsystatic.com/6035838/r/il/5a8376/4295416256/il_794xN.4295416256_pmdf.jpg', 'https://i.etsystatic.com/6035838/r/il/a44327/4342804745/il_794xN.4342804745_mi94.jpg', 'https://i.etsystatic.com/6035838/r/il/237a9c/4342804847/il_794xN.4342804847_gljy.jpg', 'https://i.etsystatic.com/6035838/r/il/9db4c4/4342804877/il_794xN.4342804877_aghx.jpg']"
Modern check windowpane pillow cover spa blue yellow textural available in multiple sizes high performance fabric coastal beach,26.00,"Classic spa blue and yellow check pillow cover available in multiple sizes!* Choose same fabric both sides or front only printed fabric with a natural reverse fabric in the drop down menu. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*high performance fabric that fares well both inside and out!  Soil, mildew and stain resistant. 100% recycled material. *iron only with a damp towel between the iron and the fabric. *design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings.  Custom sizes can most likely be accommodated...just ask!*hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/7ec297/4295377936/il_794xN.4295377936_2ifk.jpg', 'https://i.etsystatic.com/6035838/r/il/df348f/4342765483/il_794xN.4342765483_hn92.jpg', 'https://i.etsystatic.com/6035838/r/il/65aa8e/4295377874/il_794xN.4295377874_cv4e.jpg', 'https://i.etsystatic.com/6035838/r/il/79d4e4/2187184685/il_794xN.2187184685_6vv5.jpg', 'https://i.etsystatic.com/6035838/r/il/90c726/4342765847/il_794xN.4342765847_2x9p.jpg', 'https://i.etsystatic.com/6035838/r/il/886b9a/2139635704/il_794xN.2139635704_7qhr.jpg', 'https://i.etsystatic.com/6035838/r/il/24393a/2139636654/il_794xN.2139636654_q9hc.jpg', 'https://i.etsystatic.com/6035838/r/il/45cf08/4342766007/il_794xN.4342766007_47sq.jpg', 'https://i.etsystatic.com/6035838/r/il/719f6e/4342766097/il_794xN.4342766097_d921.jpg']"
Christmas holly berries vintage styled fabric pillow cover light dark green red white entryway winter decor lodge cabin boho,26.00,"Classic holly and berry print with a vintage look create this pillow cover available in multiple sizes!  The printed fabric is a light cotton twill cotton. * Choose same fabric both sides or front only floral with a ivory velvet reverse fabric in the drop down menu. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings. *hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/448b38/4280175744/il_794xN.4280175744_emyb.jpg', 'https://i.etsystatic.com/6035838/r/il/651781/4280175832/il_794xN.4280175832_69p3.jpg']"
Christmas holly berries vintage styled fabric pillow cover light dark green red white entryway winter decor lodge cabin boho,26.00,"Classic holly and berry print with a vintage look create this pillow cover available in multiple sizes!  The printed fabric is a light cotton twill cotton. * Choose same fabric both sides or front only floral with a ivory velvet reverse fabric in the drop down menu. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings. *hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/8302e7/4280167698/il_794xN.4280167698_6gfi.jpg', 'https://i.etsystatic.com/6035838/r/il/11cfc9/4327564199/il_794xN.4327564199_ce9x.jpg']"
Christmas holiday neutral decor deer forest animal whimsical grey  white beige fabric pillow cover winter decor girls entryway room boho,26.00,"Peaceful forest scene in calming neutrals are featured in this holiday designed pillow cover available in multiple sizes!  The printed fabric is a light cotton twill cotton. * Choose same fabric both sides or front only with a white reverse fabric in the drop down menu. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings. *hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/59074f/4327555657/il_794xN.4327555657_f3rt.jpg', 'https://i.etsystatic.com/6035838/r/il/21e7a9/4280159328/il_794xN.4280159328_2ah9.jpg']"
Christmas holiday decor deer forest animal whimsical fabric pillow cover peacock green blue pink brown winter decor girls entryway room boho,26.00,"Fun and colorful, bold and bright holiday designed pillow cover available in multiple sizes!  The printed fabric is a light cotton twill cotton. * Choose same fabric both sides or front only with a natural reverse fabric in the drop down menu. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings. *hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/c6a222/4327545997/il_794xN.4327545997_b8mc.jpg', 'https://i.etsystatic.com/6035838/r/il/7ec5cd/4280149418/il_794xN.4280149418_ef12.jpg']"
Christmas pine tree fabric pillow cover light dark green white entryway brushstroke watercolor winter decor lodge cabin boho,26.00,"Brushstroke watercolor look printed pine trees pillow cover available in multiple sizes!  The printed fabric is a light cotton twill cotton. * Choose same fabric both sides or front only floral with a white reverse fabric in the drop down menu. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings. *hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/99af2a/4327542339/il_794xN.4327542339_f7l1.jpg', 'https://i.etsystatic.com/6035838/r/il/be5156/4327542369/il_794xN.4327542369_l8wq.jpg']"
Christmas holiday decor colorful bright bold London fabric pillow cover blue pink green yellow orange winter decor entryway boho,26.00,"Fun and colorful, bold and bright holiday designed pillow cover available in multiple sizes!  The printed fabric is a light cotton twill cotton. * Choose same fabric both sides or front only with a pink or white reverse fabric in the drop down menu.   You can request a color during checkout for the back or I will select for you. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings. *hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/ffd47d/4327533665/il_794xN.4327533665_m12c.jpg', 'https://i.etsystatic.com/6035838/r/il/e12d8d/4327533715/il_794xN.4327533715_4yfk.jpg']"
Christmas holiday decor colorful bright bold kids foxes fabric pillow cover pink blue green yellow orange winter decor girls room boho,26.00,"Fun and colorful, bold and bright holiday designed pillow cover available in multiple sizes!  The printed fabric is a light cotton twill cotton. * Choose same fabric both sides or front only with a pink reverse fabric in the drop down menu. the front only options are first in the drop down menu, followed by the same fabric front and back (samesides)*size options are the actual cover measurements. I recommend choosing a cover two inches smaller than your insert size. (some lumbar covers are only made an inch smaller)*design placement will vary* inserts are not included, cover only. the listing is for the cover featured in the first photo. the other covers featured are available in separate listings. *hand wash cold, dry flat*free samples available most of the time upon request. *returns accepted if the package is postmarked within seven days of delivery along with notification before the return.","['https://i.etsystatic.com/6035838/r/il/ce0fa4/4325149193/il_794xN.4325149193_sas8.jpg', 'https://i.etsystatic.com/6035838/r/il/8b8d98/4325149235/il_794xN.4325149235_cyu6.jpg']"
